method N User(s) System(s) Real(s)
my_eigen_matmult_no_vect 1000 0.18 0.00 0.19
my_eigen_matmult_no_vect 1000 0.16 0.00 0.17
my_eigen_matmult_no_vect 1000 0.16 0.01 0.18
my_eigen_matmult_no_vect 1000 0.18 0.00 0.19
my_eigen_matmult_no_vect 1000 0.17 0.00 0.18
my_eigen_matmult_no_vect 1000 0.17 0.00 0.18
my_eigen_matmult_no_vect 1200 0.27 0.00 0.28
my_eigen_matmult_no_vect 1200 0.27 0.00 0.28
my_eigen_matmult_no_vect 1200 0.27 0.00 0.28
my_eigen_matmult_no_vect 1200 0.28 0.00 0.29
my_eigen_matmult_no_vect 1200 0.28 0.00 0.29
my_eigen_matmult_no_vect 1200 0.26 0.00 0.27
my_eigen_matmult_no_vect 1200 0.27 0.00 0.28
my_eigen_matmult_no_vect 1200 0.28 0.01 0.30
my_eigen_matmult_no_vect 1200 0.28 0.00 0.29
my_eigen_matmult_no_vect 1200 0.28 0.01 0.30
my_eigen_matmult_no_vect 1500 0.52 0.01 0.54
my_eigen_matmult_no_vect 1500 0.53 0.00 0.54
my_eigen_matmult_no_vect 1500 0.50 0.00 0.51
my_eigen_matmult_no_vect 1500 0.52 0.00 0.53
my_eigen_matmult_no_vect 1500 0.52 0.00 0.53
my_eigen_matmult_no_vect 1500 0.53 0.00 0.54
my_eigen_matmult_no_vect 1500 0.52 0.01 0.54
my_eigen_matmult_no_vect 1500 0.53 0.01 0.54
my_eigen_matmult_no_vect 1500 0.53 0.00 0.54
my_eigen_matmult_no_vect 1500 0.50 0.00 0.51
my_eigen_matmult_no_vect 2000 1.18 0.00 1.19
my_eigen_matmult_no_vect 2000 1.18 0.01 1.19
my_eigen_matmult_no_vect 2000 1.18 0.01 1.20
my_eigen_matmult_no_vect 2000 1.17 0.00 1.18
my_eigen_matmult_no_vect 2000 1.15 0.00 1.17
my_eigen_matmult_no_vect 2000 1.15 0.01 1.17
my_eigen_matmult_no_vect 2000 1.16 0.00 1.17
my_eigen_matmult_no_vect 2000 1.18 0.01 1.20
my_eigen_matmult_no_vect 2000 1.16 0.00 1.17
my_eigen_matmult_no_vect 2000 1.18 0.00 1.19
